17727,-17727,-5909,17727,-5909,5909,-17727,-5909,-5909,5909,17727,17727,-5909,-17727,5909,-5909
5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909
5909,-17727,-17727,-5909,-5909,-17727,5909,-5909,-5909,17727,17727,5909,5909,17727,17727,5909
5909,5909,17727,17727,5909,5909,17727,17727,-5909,-5909,-17727,-17727,-5909,-5909,-17727,-17727
-5909,17727,-17727,-17727,-17727,5909,5909,17727,-5909,5909,-17727,-17727,17727,5909,5909,-17727
17727,-17727,-5909,17727,-5909,5909,-17727,-5909,-5909,5909,17727,17727,-5909,-17727,5909,-5909
5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909
5909,-17727,-17727,-5909,-5909,-17727,5909,-5909,-5909,17727,17727,5909,5909,17727,17727,5909
5909,5909,17727,17727,5909,5909,17727,17727,-5909,-5909,-17727,-17727,-5909,-5909,-17727,-17727
-5909,17727,-17727,-17727,-17727,5909,5909,17727,-5909,5909,-17727,-17727,17727,5909,5909,-17727
17727,-17727,-5909,17727,-5909,5909,-17727,-5909,-5909,5909,17727,17727,-5909,-17727,5909,-5909
5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909
5909,-17727,-17727,-5909,-5909,-17727,5909,-5909,-5909,17727,17727,5909,5909,17727,17727,5909
5909,5909,17727,17727,5909,5909,17727,17727,-5909,-5909,-17727,-17727,-5909,-5909,-17727,-17727
-5909,17727,-17727,-17727,-17727,5909,5909,17727,-5909,5909,-17727,-17727,17727,5909,5909,-17727
17727,-17727,-5909,17727,-5909,5909,-17727,-5909,-5909,5909,17727,17727,-5909,-17727,5909,-5909
5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909,5909
5909,-17727,-17727,-5909,-5909,-17727,5909,-5909,-5909,17727,17727,5909,5909,17727,17727,5909
5909,5909,17727,17727,5909,5909,17727,17727,-5909,-5909,-17727,-17727,-5909,-5909,-17727,-17727
